,Background,Background Error,Branch Lengths,Branches,Curvature,Gauss. Width,Intensity Error,Lengths,Peak Intensity,Width Error,Widths
0,2060.4867052110703,0.5501628627251534,"[23.727922061357859, 7.0710678118654755, 4.2426406871192857, 21.071067811865479, 10.656854249492381, 11.485281374238571, 6.6568542494923806, 23.142135623730955, 6.2426406871192848]",9,0.1912740655120279,2.829295622564726,,0.3620521038453043,-15663.566144212447,,Fit Fail
1,0.061925080499257545,0.03177688630382652,"[13.485281374238571, 7.0710678118654755, 22.899494936611667, 7.0710678118654755, 28.798989873223338, 5.6568542494923806, 7.6568542494923806, 43.45584412271571, 13.071067811865476, 6.6568542494923806, 8.6568542494923797, 12.656854249492381, 2.8284271247461903, 11.071067811865476, 42.455844122715718, 22.970562748477146, 5.6568542494923806, 5.2426406871192848, 5.2426406871192857, 5.6568542494923806, 7.0710678118654755, 0, 9.0710678118654755, 13.727922061357859, 8.6568542494923797, 5.6568542494923806, 8.0710678118654755, 4.0, 2.4142135623730949, 15.313708498984763, 7.6568542494923797, 1.0]",32,0.14611350177692142,0.0002588636355351087,,0.9690354457007271,12.85302718333791,,0.14254381075611852
2,2054.817051478795,0.5793835709211695,"[1.0, 46.526911934581179, 1.0, 9.6568542494923815, 0, 7.8284271247461898, 32.213203435596434, 7.2426406871192848, 7.0710678118654755, 10.82842712474619, 0, 6.2426406871192848, 11.071067811865476, 16.313708498984763, 7.4142135623730949, 19.899494936611671, 7.0710678118654755, 5.6568542494923806, 13.899494936611667, 0, 0, 21.485281374238575, 6.6568542494923806, 8.6568542494923797, 7.0710678118654755, 11.485281374238571]",26,0.11816643761933236,2056.0793957825886,,0.9365333714252573,17719.753027859773,,0.15398505960782569
3,,,"[12.899494936611667, 9.4852813742385713, 5.8284271247461898, 1.4142135623730951, 0, 28.970562748477146, 34.89949493661166, 37.970562748477136, 8.8284271247461898, 5.6568542494923806, 24.313708498984763, 12.899494936611667, 52.870057685088803, 14.071067811865477, 11.313708498984763, 24.970562748477146, 11.313708498984763, 11.313708498984763, 19.656854249492383, 9.8284271247461916, 0, 0, 1.0, 40.313708498984766, 31.384776310850242, 10.485281374238571, 39.384776310850221, 22.727922061357862, 42.870057685088803, 7.0710678118654755, 8.2426406871192857, 14.313708498984763, 6.6568542494923806, 8.4852813742385713, 18.970562748477146, 30.798989873223338, 17.071067811865476, 21.071067811865479, 25.970562748477146, 9.0710678118654755, 2.4142135623730949, 77.497474683058286, 7.0710678118654755, 24.55634918610405, 14.313708498984763, 10.899494936611667, 9.0710678118654755, 6.6568542494923797, 7.0710678118654755, 32.384776310850242, 15.656854249492381, 25.627416997969529, 10.65685424949238, 11.899494936611667, 22.727922061357862, 7.0710678118654755, 33.627416997969526, 8.4852813742385713, 4.2426406871192857, 1.0, 10.071067811865476, 21.414213562373096, 7.0710678118654755, 13.656854249492383, 8.6568542494923797, 11.242640687119286, 2.4142135623730949, 23.727922061357859, 5.8284271247461898, 15.899494936611669, 14.313708498984763, 31.213203435596434, 8.0710678118654755, 5.6568542494923806, 24.727922061357859, 13.485281374238571, 8.4852813742385713, 8.4852813742385713, 8.2426406871192839, 9.8994949366116671, 19.727922061357859, 10.485281374238571, 17.142135623730955, 12.313708498984763, 1.0, 5.6568542494923806, 9.0710678118654755, 15.899494936611667, 26.798989873223338, 8.4852813742385713, 8.4852813742385713, 1.0, 12.899494936611667, 26.656854249492383, 38.870057685088803, 8.4852813742385713, 0, 27.55634918610405, 5.6568542494923806, 38.45584412271571, 28.970562748477146, 16.727922061357859, 37.213203435596427, 12.899494936611667, 1.0, 14.899494936611667, 137.39696961966993, 0, 8.4852813742385713, 32.455844122715718, 43.041630560342618, 1.0, 35.112698372208094, 11.071067811865476, 8.6568542494923797, 5.8284271247461898, 45.284271247461888, 1.0, 37.142135623730951, 10.899494936611667, 20.970562748477146, 32.142135623730958, 8.0710678118654755, 55.597979746446633, 26.142135623730955, 7.8284271247461898, 34.455844122715718, 7.0710678118654755, 8.6568542494923797, 22.55634918610405, 9.2426406871192857, 67.42640687119281, 5.6568542494923806, 3.4142135623730949, 32.142135623730958, 11.899494936611667, 53.183766184073548, 8.0710678118654755, 8.0710678118654755, 9.0710678118654755, 10.656854249492381, 5.6568542494923806, 2.8284271247461903, 8.4852813742385713, 5.2426406871192848, 7.0710678118654755, 12.656854249492381, 10.485281374238571, 30.798989873223338, 7.0710678118654755, 3.8284271247461898, 7.8284271247461898, 75.597979746446626, 29.142135623730958, 19.313708498984763, 18.727922061357859, 18.727922061357859, 12.828427124746192, 12.242640687119286, 9.2426406871192857, 8.0710678118654755, 15.727922061357859, 17.485281374238571, 14.242640687119286, 77.698484809834952, 17.242640687119284, 7.0710678118654755, 7.4142135623730949, 22.55634918610405, 5.2426406871192857, 5.6568542494923806, 10.656854249492381, 32.384776310850242, 16.071067811865476, 28.384776310850242, 38.384776310850228, 8.2426406871192839, 10.828427124746192, 2.0, 0, 5.6568542494923806, 5.6568542494923806, 12.656854249492381, 9.0710678118654755, 7.6568542494923806, 21.899494936611671, 7.0710678118654755, 32.313708498984766, 41.455844122715703, 24.65685424949238, 1.0, 24.071067811865476, 12.071067811865477, 5.6568542494923806, 9.4852813742385713, 5.2426406871192848, 10.414213562373096, 6.0, 23.55634918610405, 11.485281374238571, 12.899494936611667, 28.142135623730958, 12.828427124746192, 16.313708498984763, 7.0710678118654755, 5.6568542494923806, 8.6568542494923797, 10.82842712474619, 5.6568542494923806, 9.2426406871192857, 24.970562748477146, 15.071067811865476, 31.970562748477146, 5.6568542494923806, 16.313708498984763, 1.0, 9.0710678118654755, 11.656854249492381, 18.313708498984763, 4.2426406871192857, 1.4142135623730951, 11.899494936611667, 24.384776310850242, 28.798989873223338, 14.313708498984763, 7.2426406871192848, 8.0710678118654755, 16.727922061357859, 1.0, 4.4142135623730949, 7.0710678118654755, 9.8994949366116671, 13.727922061357859, 9.8994949366116671, 18.828427124746192, 0, 28.798989873223338, 6.4142135623730949, 10.899494936611667, 23.656854249492383, 35.213203435596427, 26.384776310850242, 21.55634918610405, 21.899494936611667, 10.65685424949238, 16.656854249492383, 11.071067811865476, 22.313708498984763, 29.313708498984766, 10.071067811865477, 13.485281374238571, 1.0, 38.97056274847715, 5.6568542494923806, 10.242640687119286, 16.656854249492383, 43.899494936611653, 22.242640687119287, 16.313708498984763, 27.313708498984766, 7.0710678118654755, 13.313708498984763, 5.6568542494923806, 7.0710678118654755, 28.242640687119287, 19.55634918610405, 107.91168824543135, 30.899494936611667, 12.727922061357859, 20.313708498984766, 27.556349186104054, 52.041630560342604, 26.384776310850242, 11.899494936611667, 8.4142135623730958, 18.656854249492383, 1.0, 8.6568542494923797, 0, 0, 8.4852813742385713, 9.2426406871192857, 10.656854249492381, 103.91168824543135, 20.485281374238571, 32.384776310850242, 8.0710678118654755, 5.2426406871192848, 9.4852813742385713, 18.727922061357859, 19.55634918610405, 20.55634918610405, 26.485281374238575, 17.071067811865476, 13.727922061357859, 10.071067811865476, 20.899494936611667, 5.6568542494923806, 9.8994949366116671, 22.798989873223338, 1.4142135623730951, 14.727922061357859, 14.82842712474619, 0, 7.6568542494923806, 5.6568542494923806, 24.970562748477146, 47.041630560342611, 9.4852813742385713, 10.071067811865477, 1.0, 13.899494936611669, 35.384776310850235, 0, 20.313708498984763, 35.112698372208094, 18.55634918610405, 8.2426406871192857, 8.4852813742385713, 7.0710678118654755, 6.8284271247461898, 12.65685424949238, 7.0710678118654755, 12.485281374238571, 11.485281374238571, 7.6568542494923797, 13.313708498984763, 12.071067811865477, 7.6568542494923797, 16.656854249492383, 10.242640687119284, 12.071067811865477, 6.6568542494923806, 5.6568542494923806, 41.213203435596427, 1.0, 17.485281374238571, 5.6568542494923806, 5.6568542494923806, 1.4142135623730951, 22.142135623730955]",341,0.011122363247456241,,,14.242017919562024,,,0.16689362271614849
4,,,"[36.627416997969526, 1.0, 5.6568542494923806, 0, 5.6568542494923806, 36.45584412271571]",6,0.2457146583566881,,,0.49467108636272095,,,0.15343443996315234
5,,,"[31.041630560342625, 43.45584412271571, 20.142135623730955, 14.485281374238571]",4,0.248708786693291,,,0.3123318607279623,,,0.019683273556958137
6,,,"[0, 5.4142135623730949, 14.071067811865476, 9.6568542494923797, 43.284271247461895]",5,0.20814728255353596,,,0.46934160684576864,,,0.17235837540068719
7,,,"[25.142135623730955, 5.2426406871192857, 14.313708498984763, 7.0710678118654755, 19.55634918610405, 16.899494936611667, 5.6568542494923806, 25.384776310850242, 16.485281374238571, 4.0, 8.4852813742385713, 12.071067811865476, 18.071067811865476, 8.4852813742385713, 1.0, 27.455844122715721, 8.4852813742385713, 0, 73.597979746446626, 10.485281374238571, 18.55634918610405, 15.727922061357859, 7.0710678118654755, 6.8284271247461898, 1.0]",25,0.12129700724905654,,,1.281757859277603,,,0.14995669973450354
8,,,"[48.627416997969505, 7.6568542494923797, 13.313708498984763, 5.6568542494923806, 1.0, 8.0710678118654755, 11.828427124746192, 2.8284271247461903, 31.970562748477146, 6.6568542494923797, 5.2426406871192857]",11,0.14183218390356397,,,0.4913564224095925,,,Fit Fail
9,,,"[19.142135623730955, 5.6568542494923806, 6.2426406871192848, 3.4142135623730949, 37.870057685088803, 6.6568542494923806, 1.0, 2.0, 11.071067811865476, 12.899494936611667, 1.4142135623730951, 0, 9.2426406871192857, 23.899494936611671, 42.455844122715718, 1.0, 6.8284271247461898, 20.313708498984763, 5.6568542494923806, 20.142135623730955, 23.970562748477146, 12.828427124746192, 1.0, 5.6568542494923806, 2.0]",25,0.06631051483782563,,,0.9122753367193649,,,Fit Fail
